08-14-2025 15:00:57 RAM 12574/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [2%@1036,0%@806,3%@806,0%@806,4%@1036,0%@1036,16%@1036,62%@1036,off,off,off,off] EMC_FREQ 3%@665 GR3D_FREQ 43%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@51.031C soc2@48C soc0@48.562C gpu@47.875C tj@51.031C soc1@48.062C VDD_GPU_SOC 2797mW/2797mW VDD_CPU_CV 799mW/799mW VIN_SYS_5V0 3215mW/3215mW
08-14-2025 15:00:58 RAM 12574/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@1728,2%@729,1%@729,2%@729,4%@960,1%@960,1%@960,73%@960,off,off,off,off] EMC_FREQ 11%@204 GR3D_FREQ 37%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@51.062C soc2@48.062C soc0@48.437C gpu@47.562C tj@51.062C soc1@48.062C VDD_GPU_SOC 2797mW/2797mW VDD_CPU_CV 799mW/799mW VIN_SYS_5V0 3114mW/3165mW
08-14-2025 15:01:00 RAM 12575/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [2%@1728,6%@729,1%@729,4%@729,8%@883,0%@883,0%@883,68%@883,off,off,off,off] EMC_FREQ 11%@204 GR3D_FREQ 38%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@51C soc2@47.937C soc0@48.562C gpu@47.625C tj@51C soc1@48.062C VDD_GPU_SOC 2797mW/2797mW VDD_CPU_CV 799mW/799mW VIN_SYS_5V0 3114mW/3148mW
08-14-2025 15:01:01 RAM 12575/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [2%@1728,0%@729,0%@729,0%@729,3%@960,20%@960,51%@960,2%@960,off,off,off,off] EMC_FREQ 11%@204 GR3D_FREQ 41%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@50.968C soc2@48.062C soc0@48.437C gpu@47.718C tj@50.968C soc1@48.062C VDD_GPU_SOC 2797mW/2797mW VDD_CPU_CV 799mW/799mW VIN_SYS_5V0 3114mW/3139mW
08-14-2025 15:01:02 RAM 12575/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [3%@1728,1%@729,1%@729,0%@729,5%@806,73%@806,3%@806,2%@806,off,off,off,off] EMC_FREQ 11%@204 GR3D_FREQ 33%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@50.812C soc2@48.062C soc0@48.562C gpu@47.593C tj@50.812C soc1@48.187C VDD_GPU_SOC 2797mW/2797mW VDD_CPU_CV 399mW/719mW VIN_SYS_5V0 3114mW/3134mW
08-14-2025 15:01:03 RAM 12575/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@1728,0%@729,0%@729,0%@729,3%@883,56%@883,20%@883,0%@883,off,off,off,off] EMC_FREQ 10%@204 GR3D_FREQ 38%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@51.125C soc2@48.093C soc0@48.593C gpu@47.781C tj@50.937C soc1@48.125C VDD_GPU_SOC 2797mW/2797mW VDD_CPU_CV 399mW/666mW VIN_SYS_5V0 3014mW/3114mW
08-14-2025 15:01:04 RAM 12576/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [3%@806,3%@729,1%@729,4%@729,3%@1036,68%@1113,10%@1113,1%@1113,off,off,off,off] EMC_FREQ 3%@665 GR3D_FREQ 45%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@51.031C soc2@48C soc0@48.531C gpu@47.75C tj@51.25C soc1@47.968C VDD_GPU_SOC 2797mW/2797mW VDD_CPU_CV 799mW/685mW VIN_SYS_5V0 3215mW/3129mW
08-14-2025 15:01:05 RAM 12576/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [2%@1728,0%@729,0%@729,0%@729,2%@960,73%@960,1%@960,0%@960,off,off,off,off] EMC_FREQ 11%@204 GR3D_FREQ 39%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@51.468C soc2@47.906C soc0@48.5C gpu@47.718C tj@50.937C soc1@48.187C VDD_GPU_SOC 2797mW/2797mW VDD_CPU_CV 399mW/649mW VIN_SYS_5V0 3114mW/3127mW
08-14-2025 15:01:06 RAM 12576/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,0%@729,0%@729,0%@729,3%@729,55%@729,23%@729,1%@729,off,off,off,off] EMC_FREQ 10%@204 GR3D_FREQ 32%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@51.093C soc2@48.031C soc0@48.468C gpu@47.687C tj@51.093C soc1@48.312C VDD_GPU_SOC 2797mW/2797mW VDD_CPU_CV 399mW/621mW VIN_SYS_5V0 3114mW/3125mW
08-14-2025 15:01:07 RAM 12576/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,0%@729,0%@729,0%@729,4%@883,31%@883,45%@883,0%@883,off,off,off,off] EMC_FREQ 10%@204 GR3D_FREQ 38%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@50.875C soc2@47.906C soc0@48.406C gpu@47.625C tj@50.875C soc1@48.25C VDD_GPU_SOC 2797mW/2797mW VDD_CPU_CV 399mW/599mW VIN_SYS_5V0 3114mW/3124mW
08-14-2025 15:01:08 RAM 12576/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [3%@1728,1%@960,0%@960,0%@960,1%@729,65%@729,6%@729,0%@729,off,off,off,off] EMC_FREQ 10%@204 GR3D_FREQ 32%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@50.906C soc2@47.968C soc0@48.718C gpu@47.906C tj@50.906C soc1@48.25C VDD_GPU_SOC 2797mW/2797mW VDD_CPU_CV 399mW/581mW VIN_SYS_5V0 3014mW/3114mW
